ppt,red,green,blue,
0,255,248,220,light steel blue
1,255,0,0,red
2,255,0,0,red
3,255,0,0,red
4,255,0,0,red
5,255,0,0,red
6,255,0,0,red
7,255,0,0,red
8,255,0,0,red
9,255,0,0,red
10,255,0,0,red
11,255,0,0,red
12,255,0,0,red
13,255,0,0,red
14,255,0,0,red
15,255,0,0,red
16,255,0,0,red
17,255,0,0,red
18,255,0,0,red
19,255,0,0,red
20,255,0,0,red
21,255,0,0,red
22,255,0,0,red
23,255,0,0,red
24,255,0,0,red
25,255,0,0,red
26,255,0,0,red
27,255,0,0,red
28,255,0,0,red
29,255,0,0,red
30,255,0,0,red
31,255,0,0,red
32,255,0,0,red
33,255,0,0,red
34,255,0,0,red
35,255,0,0,red
36,255,0,0,red
37,255,0,0,red
38,255,0,0,red
39,255,0,0,red
40,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
,255,0,0,red
