ppt,red,green,blue
0,255,248,220
1,192,192,192
2,192,192,192
3,192,192,192
4,192,192,192
5,192,192,192
6,192,192,192
7,192,192,192
8,192,192,192
9,192,192,192
10,192,192,192
11,192,192,192
12,192,192,192
13,0,255,0
14,0,255,0
15,0,255,0
16,0,255,0
17,0,255,0
18,0,255,0
19,0,255,0
20,0,255,0
21,0,255,0
22,0,255,0
23,0,255,0
24,0,255,0
25,0,255,0
26,0,255,0
27,0,255,0
28,0,255,0
29,0,255,0
30,0,255,0
31,0,255,0
32,0,255,0
33,0,255,0
34,0,255,0
35,0,255,0
36,0,255,0
37,0,128,0
38,0,128,0
39,0,128,0
40,0,128,0
41,0,128,0
42,0,128,0
43,0,128,0
44,0,128,0
45,0,128,0
46,0,128,0
47,0,128,0
48,0,128,0
49,0,128,0
50,0,128,0
51,0,128,0
52,0,128,0
53,0,128,0
54,0,128,0
55,0,128,0
56,0,128,0
57,0,128,0
58,0,128,0
59,0,128,0
60,0,128,0
61,0,128,0
62,0,128,0
63,0,128,0
64,0,128,0
65,0,128,0
66,0,128,0
67,0,128,0
68,0,128,0
69,0,128,0
70,0,128,0
71,0,128,0
72,255,0,0
73,255,0,0
74,255,0,0
75,255,0,0
76,255,0,0
77,255,0,0
78,255,0,0
79,255,0,0
80,255,0,0
81,255,0,0
82,255,0,0
83,255,0,0
84,255,0,0
85,255,0,0
86,255,0,0
87,255,0,0
88,255,0,0
89,255,0,0
90,255,0,0
91,255,0,0
92,255,0,0
93,255,0,0
94,255,0,0
95,255,0,0
96,255,0,0
97,255,0,0
98,255,0,0
99,255,0,0
100,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
,255,0,0
